Бадьян
Вода питьевая
Говядина б/к
Зира
Капуста пекинская
Кориандр молотый
Лавровый лист
Лук репчатый неочищенный
Масло подсолнечное
Перец болгарский красный
Перец черный молотый
Редька(дайкон)
Сельдерей
Соль поваренная пищевая
Соус соевый
Фасоль стручковая
Чеснок свежий неочищенный
Мука пшеничная в/с
Сахар-песок
Томат-паста
Бедро куриное без кости
Картофель неочищенный
Кунжут чёрный
Куриный кубик
Молоко сухое
Морковь не чищенная
Маргарин
Томаты свежие
Петрушка свежая
Укроп свежий
Дрожжи сухие
Сыр твердый
Творог
Тесто слоеное дрожжевое
Специи для плова
Барбарис
Рис круглый шлифованный
